experiment,tag,bin_size,Hz,day
stationarity 1 - 22-12-2023,47,0.143718162757619,6.95806278630561,22-12-2023
stationarity 1 - 22-12-2023,48,0.145277719185496,6.88336797691024,22-12-2023
stationarity 1 - 22-12-2023,49,0.145099051508687,6.89184381015838,22-12-2023
stationarity 1 - 22-12-2023,56,0.144385099661188,6.92592242791388,22-12-2023
stationarity 1 - 22-12-2023,57,0.145023182395638,6.89544928942396,22-12-2023
stationarity 1 - 22-12-2023,64,0.144674369767934,6.91207434740552,22-12-2023
stationarity 1 - 22-12-2023,65,0.145658898404089,6.86535468108365,22-12-2023
stationarity 1 - 22-12-2023,72,0.149595652196718,6.68468625468473,22-12-2023
stationarity 1 - 22-12-2023,73,0.0885347939029183,11.2949943848803,22-12-2023
stationarity 1 - 22-12-2023,74,0.141986584146695,7.04291892089497,22-12-2023
stationarity 1 - 22-12-2023,75,0.144596638549276,6.91579009050905,22-12-2023
stationarity 1 - 22-12-2023,76,0.148345905131307,6.74100170891039,22-12-2023
stationarity 1 - 22-12-2023,77,0.143854602360825,6.9514633775271,22-12-2023
stationarity 1 - 22-12-2023,78,0.150451365976386,6.6466661403191,22-12-2023
stationarity 1 - 22-12-2023,79,0.146679829380683,6.817569970065,22-12-2023
stationarity 1 - 22-12-2023,80,0.151542951619573,6.59878924960074,22-12-2023
stationarity 1 - 22-12-2023,81,0.440990385336754,2.26762313476828,22-12-2023
stationarity 1 - 22-12-2023,82,0.146378723357586,6.83159394386243,22-12-2023
stationarity 1 - 22-12-2023,83,0.144624605790548,6.91445272769312,22-12-2023
stationarity 1 - 22-12-2023,84,0.146294367807451,6.83553314448971,22-12-2023
stationarity 1 - 22-12-2023,85,0.144592436922698,6.91599105238552,22-12-2023
stationarity 1 - 22-12-2023,86,0.145087552724508,6.89239001707332,22-12-2023
stationarity 1 - 22-12-2023,87,0.146915507954072,6.80663337673388,22-12-2023
stationarity 1 - 22-12-2023,88,0.145937433930495,6.8522514961875,22-12-2023
stationarity 2 - 22-12-2023,1,0.146365333345201,6.83221892195954,22-12-2023
stationarity 2 - 22-12-2023,2,0.144062117328794,6.94145010875894,22-12-2023
stationarity 2 - 22-12-2023,3,0.146366548071552,6.83216221995713,22-12-2023
stationarity 2 - 22-12-2023,4,0.146741532811932,6.81470324616025,22-12-2023
stationarity 2 - 22-12-2023,5,0.145166666839909,6.88863374608448,22-12-2023
stationarity 2 - 22-12-2023,6,0.145112874646666,6.89118730805168,22-12-2023
stationarity 2 - 22-12-2023,7,0.147867924440903,6.76279188864695,22-12-2023
stationarity 2 - 22-12-2023,8,0.145903368790944,6.85385134206761,22-12-2023
stationarity 2 - 22-12-2023,9,0.143902097965454,6.94916901239388,22-12-2023
